Animal_ID,SampleID,Environment,Genotype,Pre -Infection_Status,B220-TCRb-Ki67+CD44+CD8b+,TCRB+CD4+Tbet+KI-67+CD44+,B220+KI-67+CD44+,B220+Ki-67-CD44-,CD8+CD62L+CD44-,TCRb+cd4+cd44-,B220+CD62L+CD44-,TCRb-Tbet+CD62L+,TCRgD+,TCRb+CD4+CD62L+CD44L+,B220+CD44+,TCRb+CD4+CD62L+CD44-,B220+CD62L+CD44-,TCRb-CD44+RorgT+,TCRb-B220-Ki67+CD44+,,
280,0,RW,C57BL/6,N,1.15694165,1.810865191,5.583501006,3.169014085,4.527162978,0.100603622,9.004024145,2.062374245,0.754527163,3.722334004,1.358148893,5.482897384,22.48490946,7.595573441,31.18712274,,
283,1,RW,C57BL/6,N,8.447142135,1.315123925,1.315123925,3.641881639,5.563985837,0.050581689,9.104704097,1.568032372,0.708143652,3.743045018,5.462822458,8.143651998,6.676783005,20.28325746,23.97572079,,
287,2,RW,C57BL/6,N,2.423929861,3.04280557,4.74471377,4.847859722,5.776173285,0.36101083,8.045384219,2.423929861,1.134605467,4.486848891,3.764827231,6.395048994,9.592573491,20.88705518,22.07323363,,
291,3,RW,C57BL/6,N,2.279484638,4.261645193,2.279484638,1.635282458,6.243805748,0.049554014,3.914767096,1.387512389,0.991080278,5.649157582,1.883052527,6.194251734,14.42021804,16.00594648,32.80475719,,
294,4,RW,C57BL/6,N,1.076320939,2.59295499,5.136986301,1.174168297,3.62035225,0.195694716,2.397260274,3.082191781,1.761252446,2.788649706,1.076320939,2.446183953,17.17221135,7.925636008,47.55381605,,
298,5,RW,C57BL/6,N,5.438686506,4.309902514,3.950743971,2.308876347,7.952796306,0.30785018,3.129810159,1.949717804,2.103642894,4.822986147,8.517188302,8.106721396,11.13391483,22.83222165,13.134941,,
304,6,RW,PWK/PhJ,N,1.433514582,2.669303015,1.828966881,4.498269896,11.02323282,1.631240732,4.300543747,0.889767672,0.840336134,24.7652002,9.836875927,0.296589224,1.28521997,4.943153732,29.75778547,,
307,7,RW,PWK/PhJ,N,0.742942051,1.337295691,0.34670629,0.941059931,4.606240713,0,2.872709262,0.14858841,0.54482417,17.08766716,0.24764735,0.4952947,1.485884101,2.129767211,67.01337296,,
311,8,RW,PWK/PhJ,N,7.834101382,1.612903226,0.34562212,3.456221198,4.493087558,0.288018433,2.073732719,0.34562212,0.633640553,11.75115207,25.40322581,0.460829493,0.230414747,11.6359447,29.43548387,,
103,9,RW,129S1,Tm,0.860323887,4.706477733,0.809716599,3.491902834,14.01821862,0.506072874,5.36437247,3.289473684,1.265182186,8.451417004,0.860323887,33.14777328,1.973684211,3.542510121,17.71255061,,
