,Genotype,Location,Infection_Status,PBS_IFNg,CD3_CD28_IFNg,LPS_IFNg,Candida_IFNg,C..perfinges_IFNg,B..vulgatus_IFNg,T.muris_50ug.ml_IFNg,PBS_IL.5,CD3_CD28_IL.5,LPS_IL.5,Candida_IL.5,C..perfinges_IL.5,B..vulgatus_IL.5,T.muris_50ug.ml_IL.5,PBS_TNF.a,CD3_CD28_TNF.a,LPS_TNF.a,Candida_TNF.a,C..perfinges_TNF.a,B..vulgatus_TNF.a,T.muris_50ug.ml_TNF.a,PBS_IL.2,CD3_CD28_IL.2,LPS_IL.2,Candida_IL.2,C..perfinges_IL.2,B..vulgatus_IL.2,T.muris_50ug.ml_IL.2,PBS_IL.6,CD3_CD28_IL.6,LPS_IL.6,Candida_IL.6,C..perfinges_IL.6,B..vulgatus_IL.6,T.muris_50ug.ml_IL.6,PBS_IL.4,CD3_CD28_IL.4,LPS_IL.4,Candida_IL.4,C..perfinges_IL.4,B..vulgatus_IL.4,T.muris_50ug.ml_IL.4,PBS_IL.10,CD3_CD28_IL.10,LPS_IL.10,Candida_IL.10,C..perfinges_IL.10,B..vulgatus_IL.10,T.muris_50ug.ml_IL.10,PBS_IL.9,CD3_CD28_IL.9,LPS_IL.9,Candida_IL.9,C..perfinges_IL.9,B..vulgatus_IL.9,T.muris_50ug.ml_IL.9,PBS_IL.17A,CD3_CD28_IL.17A,LPS_IL.17A,Candida_IL.17A,C..perfinges_IL.17A,B..vulgatus_IL.17A,T.muris_50ug.ml_IL.17A,PBS_IL.22,CD3_CD28_IL.22,LPS_IL.22,Candida_IL.22,C..perfinges_IL.22,B..vulgatus_IL.22,T.muris_50ug.ml_IL.22,PBS_IL.13,CD3_CD28_IL.13,LPS_IL.13,Candida_IL.13,C..perfinges_IL.13,B..vulgatus_IL.13,T.muris_50ug.ml_IL.13
271,C57,Lab,N,0.275007047,6.466300829,0.321928095,0.286881148,0.298658316,0.422233001,1.189033824,0.575312331,0.941106311,0.641546029,0.432959407,0.526068812,0.50589093,0.50589093,1.097610797,6.845113647,1.510961919,0.941106311,3.589763487,2.98550043,2.704871964,0.526068812,11.0429042,0.831877241,0.516015147,0.807354922,0.475084883,0.669026766,0.150559677,2.386810946,0.50589093,0.275007047,0.992768431,2.010779839,4.158660175,0.333423734,0.731183242,0.344828497,0.35614381,0.310340121,0.310340121,0.310340121,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.333423734,0.028569152,0.014355293,0.028569152,0.014355293,0.042644337,0.333423734,0.464668267,0.310340121,0.454175893,0.35614381,0.333423734,0.310340121,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
290,C57,Lab,N,0.298658316,7.128045891,0.298658316,0.310340121,0.35614381,0.443606651,1.659924558,0.526068812,2.548436625,0.526068812,0.565597176,0.650764559,0.454175893,0.575312331,1.137503524,7.634084983,2.049630768,1.541019153,3.7322692,2.580145484,3.726831217,0.669026766,11.37627736,0.687060688,0.50589093,0.941106311,0.669026766,0.86393845,0.40053793,4.738767837,1.50589093,0.321928095,1.718087584,3.084064265,5.240695944,0.344828497,0.799087306,0.35614381,0.35614381,0.378511623,0.333423734,0.321928095,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.028569152,4.0721058,0.042644337,0.028569152,0.028569152,0.056583528,0.056583528,0.454175893,0.963474124,0.40053793,0.422233001,0.485426827,0.411426246,0.389566812,0.137503524,0.084064265,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
296,C57,Lab,N,0.464668267,5.85224859,0.389566812,0.422233001,0.495695163,1.10433666,2.347665656,0.166715445,2.893362211,0.166715445,1.847996907,0.166715445,0.166715445,0.166715445,1.005759269,6.482686971,1.005759269,2.469885976,3.875780063,3.371558863,2.989139007,0.475084883,11.39116302,0.475084883,0.475084883,2.833902077,4.054848477,0.475084883,0.659924558,3.867896464,0.160920188,2.107687869,3.092545742,3.401903472,4.781884235,0.137503524,3.279471296,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,2.241840184,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.001441974,5.936873462,0.001441974,0.001441974,0.001441974,3.324810603,0.001441974,0.137503524,2.40599236,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,1.839959587,0.137503524
272,C57,Lab,Tm,3.408032466,13.75678563,4.686220365,5.166313748,6.857732233,6.898571158,10.18095342,0.516015147,2.980939266,0.799087306,0.516015147,1.389566812,0.475084883,0.454175893,1.15704371,8.377969644,5.335211682,5.973266861,8.022090345,5.764340847,6.828644274,1.229587923,11.91905884,1.976363636,3.135863165,2.684818738,2.519793486,3.484782623,1.280956314,4.967860271,4.815575429,4.49217366,6.66618849,6.530055131,8.758089934,0.454175893,2.587364991,0.310340121,2.64385619,1.528571319,0.35614381,1.959770155,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,4.453517579,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.084064265,5.310158318,0.097610797,3.087462841,0.786596362,0.150559677,2.185866545,0.687060688,3.842476063,0.782408565,2.590961241,1.503348735,0.565597176,3.617063344,0.137503524,2.545968369,0.137503524,4.513490746,1.948600847,0.137503524,3.112700133
286,C57,Lab,Tm,5.723285505,13.4686934,5.324270572,7.920769673,6.321026129,5.8628233,8.178341173,0.443606651,1.942983598,0.344828497,0.584962501,0.485426827,0.50589093,0.432959407,2.174725988,7.769011321,4.766595162,7.40917876,7.165158245,5.154007948,5.528102429,2.62058641,10.37851704,1.924099886,3.451540833,0.757023247,0.847996907,2.691534165,3.112700133,4.241077458,4.846744023,6.050284014,5.925406083,6.011450912,7.116239979,2.182692298,3.714245518,0.411426246,2.300123725,0.367371066,0.378511623,1.584962501,5.36485254,3.171366976,0.028569152,5.399581281,2.417920008,0.028569152,0.032806145,0.032806145,3.66106548,0.014355293,4.928844037,0.014355293,0.014355293,0.014355293,2.508428653,3.706530553,0.097610797,3.224194664,0.361768359,0.244887059,0.580145484,1.871843649,2.739848103,0.137503524,3.572889668,0.137503524,0.137503524,1.367371066,3.323370069,2.085764554,0.137503524,3.902073579,0.137503524,0.137503524,0.137503524
279,C57,Lab,Tm,0.59454855,11.88582981,0.82374936,0.632268215,3.326249701,4.691534165,8.210720042,0.5360529,7.512700963,0.464668267,0.422233001,0.50589093,0.565597176,2.403267722,1.480265122,8.799993888,3.86393845,3.952333566,6.917431755,4.590362488,5.496014873,0.641546029,0.475084883,1.007195501,0.545968369,0.765534746,1.189033824,5.346956889,0.575312331,8.89339255,3.152183419,0.948600847,4.124328135,5.871597266,8.180655119,0.443606651,9.61205756,0.411426246,0.475084883,0.443606651,0.443606651,2.634593268,0.028569152,7.892069177,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,7.911092332,0.014355293,0.014355293,0.014355293,0.014355293,3.176322773,0.189033824,7.599540966,0.070389328,0.250961574,0.111031312,0.097610797,0.871843649,0.584962501,4.34978987,0.526068812,0.565597176,0.485426827,0.622930351,0.895302621,0.137503524,7.865423978,0.137503524,0.097610797,0.137503524,0.137503524,1.90303827
295,C57,Lab,Tm,4.308156975,14.35465436,4.612352499,4.804776378,6.143434237,11.12446385,6.035843816,0.378511623,1.007195501,0.389566812,0.454175893,0.378511623,0.641546029,0.344828497,1.495695163,8.02441942,3.787641414,4.779785005,7.057666877,7.348019909,1.59454855,0.773996325,10.44035012,0.659924558,0.584962501,0.622930351,1.443606651,0.948600847,1.316145742,4.702657543,3.822730148,2.384049807,5.593353771,8.916416929,3.065227623,0.422233001,1.831877241,0.389566812,0.422233001,0.389566812,0.344828497,0.378511623,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,3.021479727,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.084064265,1.933572638,0.070389328,0.070389328,0.056583528,0.176322773,0.042644337,0.495695163,2.50589093,0.475084883,0.464668267,0.565597176,2.967168608,0.495695163,0.137503524,0.50589093,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
280,C57,SF,N,0.137503524,8.092228584,0.344828497,0.201633861,0.464668267,0.310340121,2.673556424,0.166715445,3.69265037,2.084064265,0.166715445,0.166715445,0.166715445,1.372952098,3.005399988,7.149950302,3.092545742,2.969012308,4.776630423,4.233427944,3.750606505,0.475084883,11.28975379,2.895302621,2.207892852,3.961623328,4.093391153,4.19298317,1.570462931,4.516015147,1.333423734,0.160920188,2.897240426,3.768713657,5.376429311,2.601696516,4.401903472,2.548436625,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,1.854793598,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,3.462052319,0.014355293,2.364572432,1.432959407,0.918386234,0.545968369,7.033312868,2.321928095,0.028569152,1.367371066,0.367371066,0.970853654,1.560714954,2.114367025,1.773996325,1.618238656,1.778208576,1.682573297,2.09423607,0.137503524,3.350497247,0.963474124,0.137503524,2.077242999,2.032100843,2.577730931
275,C57,SF,N,1.475084883,9.930382533,0.887525271,1.40599236,2.09423607,2.09085343,3.304511042,0.166715445,1.10433666,0.201633861,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,7.020368851,3.148934105,1.929790998,5.85847839,5.40599236,5.971083658,0.475084883,10.96226704,0.475084883,0.475084883,0.475084883,0.475084883,0.475084883,1.14404637,2.817623258,3.503348735,0.765534746,3.317593505,5.441284272,6.790772038,0.137503524,3.007195501,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.757023247,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.622930351,0.731183242,5.079804755,0.111031312,0.001441974,0.575312331,0.250961574,0.622930351,1.23878686,1.887525271,0.86393845,0.799087306,0.90303827,0.263034406,0.815575429,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
274,C57,SF,N,0.545968369,6.673132372,0.622930351,0.5360529,0.555816155,0.495695163,1.827819025,0.166715445,3.558267634,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,6.991975274,1.005759269,1.005759269,4.072963272,1.005759269,3.870857864,0.475084883,11.43043687,4.824258697,0.475084883,4.299391206,4.196921734,0.475084883,0.160920188,1.333423734,0.160920188,0.160920188,0,0.160920188,2.86393845,0.137503524,3.772941338,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,2.710393192,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,4.165107985,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.001441974,6.357024093,0,0.001441974,0.001441974,0.001441974,0.001441974,0.137503524,1.03562391,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
