Animal_ID,Infected,Location,Strain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
274,N,SF,B6,31.413097,1.1816839,6.548498277,3.741999015,1.083210241,15.75578533,1.674052191,12.70310192,0.443131462,0.492368291,0.984736583,11.52141802,1.477104874,5.908419498,5.071393402
275,N,SF,B6,32.82520325,1.219512195,6.504065041,4.928861789,2.134146341,13.61788618,2.642276423,11.63617886,0.914634146,0.457317073,1.117886179,9.756097561,2.489837398,1.778455285,7.977642276
280,N,SF,B6,35.77154309,1.052104208,5.06012024,4.208416834,0.901803607,15.63126253,1.703406814,9.569138277,0.551102204,0.300601202,1.102204409,11.12224449,2.304609218,5.911823647,4.809619238
283,N,SF,B6,32.67424617,1.038062284,4.349975284,3.608502224,0.988630746,19.4760257,1.48294612,13.09935739,0.543746911,0.197726149,0.74147306,10.7266436,1.186356896,4.102817598,5.783489867
287,N,SF,B6,6.490971205,1.366520254,7.174231332,3.416300634,0.732064422,19.13128355,1.610541728,13.90922401,0.195217179,1.073694485,0.829673011,7.808687164,1.805758907,11.81063934,22.64519278
291,N,SF,B6,27.06580901,0.841167739,5.640771895,3.859475507,0.643245918,18.10984661,1.979218209,14.89361702,0.989609104,0.593765463,1.088570015,10.09401286,1.484413657,6.135576447,6.580900544
294,N,SF,B6,36.00196464,1.227897839,5.844793713,4.174852652,1.571709234,13.50687623,1.326129666,9.037328094,0.785854617,0.442043222,0.785854617,9.430255403,2.161100196,6.974459725,6.728880157
298,N,SF,B6,27.42248062,1.501937984,6.395348837,5.765503876,2.083333333,17.39341085,1.889534884,10.36821705,0.484496124,0.532945736,1.01744186,11.67635659,1.792635659,6.153100775,5.523255814
304,N,SF,PWK,3.597831444,0.739280434,5.864958107,25.67767373,1.133563332,0.591424347,1.133563332,0.640709709,0.837851158,0.640709709,0.936421883,35.43617546,2.316412026,1.774273041,18.67915229
311,N,SF,PWK,12.17348448,0.394282898,8.378511582,20.50271069,1.232134056,0.197141449,0.936421883,0.098570724,0.591424347,0.147856087,0.44356826,35.73188763,1.281419418,2.365697388,15.52488911
320,N,SF,PWK,2.479338843,0.723140496,7.799586777,22.9338843,1.136363636,0.41322314,1.704545455,0.20661157,0.361570248,0.309917355,0.826446281,40.34090909,2.22107438,0.826446281,17.71694215
103,Tm,SF,129SL,18.04251112,0.494315373,7.315867523,0.790904597,0.494315373,16.559565,4.547701434,32.03163618,0.543746911,0.444883836,0.444883836,4.992585269,2.471576866,3.905091448,6.920415225
106,Tm,SF,129SL,24.74338196,0.864397623,6.699081578,1.296596434,1.620745543,13.61426256,6.158833063,26.20205294,0.75634792,0.270124257,0.270124257,4.91626148,2.160994057,1.51269584,8.914100486
110,Tm,SF,129SL,26.87804878,0.634146341,5.707317073,0.780487805,1.317073171,13.17073171,7.56097561,21.95121951,1.56097561,0.682926829,0.682926829,3.951219512,3.853658537,4.926829268,6.341463415
117,Tm,SF,129SL,17.28087649,1.24501992,4.830677291,1.593625498,1.743027888,17.33067729,2.440239044,33.31673307,0.896414343,0.697211155,0.747011952,4.581673307,2.689243028,3.535856574,7.071713147
118,Tm,SF,129SL,20.81145585,0.76372315,6.1575179,0.715990453,1.813842482,12.02863962,7.923627685,29.45107399,1.050119332,0.668257757,0.572792363,3.770883055,3.245823389,4.200477327,6.825775656
120,Tm,SF,129SL,19.96133398,0.724987917,5.413243113,1.401643306,2.126631223,14.01643306,6.766553891,28.08119865,1.063315611,0.724987917,0.628322861,4.204929918,2.271628806,3.72160464,8.893185114
122,Tm,SF,129SL,21.20906801,0.755667506,4.83627204,1.108312343,2.216624685,16.2720403,3.879093199,27.10327456,2.871536524,0.554156171,1.007556675,2.921914358,4.785894207,4.0302267,6.44836272
273,Tm,SF,B6,39.4044665,1.240694789,2.630272953,2.53101737,2.183622829,13.39950372,3.076923077,10.5707196,0.843672457,0.397022333,1.339950372,6.35235732,2.282878412,5.310173697,8.436724566
277,Tm,SF,B6,37.70080321,1.104417671,2.96184739,3.313253012,1.656626506,12.70080321,1.5562249,14.0060241,2.761044177,0.502008032,1.706827309,5.62248996,3.815261044,1.606425703,8.985943775
282,Tm,SF,B6,31.23742455,1.006036217,2.766599598,2.816901408,2.263581489,13.83299799,1.76056338,12.37424547,2.3138833,0.60362173,2.213279678,5.181086519,5.23138833,4.225352113,12.17303823
284,Tm,SF,B6,39.59731544,0.92927207,3.045947341,2.736189985,1.084150749,13.6293237,2.013422819,10.78988126,1.703665462,0.206504904,0.980898296,5.98864223,3.20082602,4.233350542,9.860609189
288,Tm,SF,B6,39.56370848,1.239464551,2.875557759,2.18145761,1.388200297,11.70054536,1.43777888,8.676251859,1.388200297,0.24789291,1.636093208,5.503222608,2.974714923,6.742687159,12.4442241
289,Tm,SF,B6,38.51674641,1.100478469,3.110047847,2.775119617,2.344497608,13.58851675,1.483253589,9.377990431,2.392344498,0.28708134,1.244019139,6.842105263,3.253588517,5.023923445,8.660287081
292,Tm,SF,B6,25.35569106,1.117886179,4.979674797,5.284552846,1.067073171,16.20934959,1.575203252,13.87195122,0.203252033,0.406504065,0.863821138,11.48373984,1.321138211,7.774390244,8.485772358
297,Tm,SF,B6,33.95,1.3,4.3,3.7,1.5,13.95,2.15,10.95,0.75,0.45,0.65,7.25,3.15,5.05,10.9
300,Tm,SF,B6,31.93403298,0.899550225,2.99850075,3.748125937,2.648675662,14.19290355,1.549225387,14.49275362,2.3988006,0.349825087,1.299350325,6.146926537,2.7986007,3.1984008,11.34432784
302,Tm,SF,PWK,4.838709677,0.504032258,4.133064516,17.59072581,4.435483871,0.504032258,4.133064516,0.705645161,3.881048387,1.411290323,3.477822581,29.53629032,4.08266129,4.989919355,15.77620968
305,Tm,SF,PWK,18.75311721,0.448877805,4.239401496,18.80299252,2.443890274,0.349127182,3.541147132,0.199501247,2.094763092,0.349127182,3.690773067,25.98503741,4.987531172,1.845386534,12.26932668
309,Tm,SF,PWK,6.123508044,0.311364816,6.123508044,19.0451479,2.750389206,0.155682408,5.448884276,0.155682408,1.297353399,0.622729632,1.712506487,29.26829268,2.95796575,4.307213285,19.71977167
310,Tm,SF,PWK,5.458290422,0.823892894,8.547888774,15.8084449,5.664263646,0.308959835,5.252317199,0.514933059,1.184346035,0.669412976,2.059732235,23.17198764,3.86199794,4.016477858,22.65705458
314,Tm,SF,PWK,13.46918489,0.64612326,5.318091451,18.38966203,3.081510934,0.347912525,4.07554672,0.198807157,1.540755467,0.497017893,1.391650099,20.92445328,3.429423459,2.584493042,24.10536779
316,Tm,SF,PWK,9.927234927,0.363825364,5.665280665,19.23076923,3.43035343,0.363825364,8.004158004,0.207900208,0.831600832,1.03950104,3.898128898,17.51559252,5.457380457,5.093555094,18.97089397
317,Tm,SF,PWK,17.70310933,0.651955868,4.312938816,15.99799398,2.156469408,0.150451354,5.817452357,0.351053159,2.95887663,0.75225677,2.156469408,27.38214644,3.911735206,3.259779338,12.43731194
318,Tm,SF,PWK,15.85306912,0.579990333,3.141614306,16.62638956,2.223296278,0.628322861,4.398260029,0.338327695,2.223296278,0.676655389,1.256645723,24.11793137,3.431609473,3.528274529,20.97631706
